id,category,keyword,soundex,language_code,sort_order,is_active
100,amazon_product,อัญชัน คีโตเจนิค เย็น,"อัญชันคีโต,วันจันทร์เย็น, Shenzhen, ฉันกินข้าวเย็น, อัญชันกิโล, อัญชัน keto, อัญชลีตู้เย็น,อัญชันคีโอ,อันอัน keto,kito อัญชัน,คีโต.*อัญชัน ,อัญชัน kito,อัญชันทาคิ้วประตู,อัญชันขี้ตูด,อาจารย์ kito,อาจารย์ shito,อัญชัน chipo,อัญชัน.*โต,คลิปโป๊อัญชัน,อัญชันคลิปโป๊,คีโต.*ชัน",th,22,1
99,amazon_product,โกโก้ ลาวา คีโตเจนิค เย็น,"โกโก้ลาวา, cholecystectomy, โกโก้ rawat, โกโก้ Lava, กูก็ระวังตัวเย็น, Google Lava,โกโก้คีโต,คีโต.*โกโก้,โกโก้ Lava Guitar,Google Lava,ลาวาโกโก้,Google ลาวา,kulawat,Google novice",th,23,1
98,amazon_product,มอคคา ลาวา คีโตเจนิค เย็น,"มอคคาลาวา, ค่าลาวา, okinawa to yen, วงคาราบาวอากิโตะตอนเย็น, บอกค่าระวางกี่ตอนเย็น, บอกค่าระหว่างกิโลเย็น, อัลปาก้า Lava cheatin,keito miyazawa,ค่า LAVA,ค่าคีโต,mosquito,ค่า keto,มอคค่ากี่ตู,ค่าคีโตน,คีโต.*มอค,คลิปโป๊.*ค่า,คลิปโป๊.*ฆ่า,5.*ลาวา,5.*Lava,คา Lava",th,24,1
97,amazon_product,ชาไทย คีโตเจนิค เย็น,"ชาไทยคีโต, ชาเย็นคีโต, ชานมคีโต, ชาส้มคีโต,คีโตชาไทย,kito ชาไทย,พี่โตชาไทย,ชาไทย keto,ชาไทย kito,คลิปโป๊.*ไทย,ชาไทยคลิปโป๊,keto.*ไทย,คีโต.*ไทย",th,25,1
96,amazon_product,ชาเขียว คีโตเจนิค เย็น,"ชาเขียวคีโต, เสียง ketogenic, ชาเขียว ketogenic เย็น,คีโตชาเขียว,พี่โตชาเขียว,ชาเขียว keto,คลิปโป๊ชาเขียว,คีโต.*ชาเขียว,keto.*เขียว",th,26,1
95,amazon_product,กาแฟ คีโตเจนิค เย็น,"กาแฟคีโต, กาแฟ keto, ketogenic Coffee, คีโต.*กาแฟ,kito กาแฟ,keto.*กาแฟ,คลิปโป๊กาแฟ",th,27,1
94,amazon_product,อัญชันมะนาว เย็น,"อัญชันมะนาวเย็น, มะนาวอัญชันเย็น, ชนะเย็น, ฉันทนาเย็น, ฉันไม่ได้ยิน",th,28,1
93,amazon_product,อัญชันมะนาว ร้อน,"อัญชันมะนาวร้อน, มะนาวอัญชันร้อน, ฉันมะนาวร้อน",th,29,1
92,amazon_product,บลูเบอรี่มิดไนท์ เย็น,"บลู.*มิดไนท์, Blueberry Midnight, เบอร์ L Midnight, บลูเบอรี่นิดนึง, berry มิดไนท์, บลูเบอร์รี่ Midnight,บลูเบอรี่ Midnight,Midnight Blue Berry,บลูเบอรี่บิ๊กไบค์,ดู Body midnight,มิดไนท์บลู,บลู.*มิดไหน",th,30,1
91,amazon_product,สตรอเบอรี่มิดไนท์ เย็น,"สตรอ.*มิดไนท์, Strawberry Midnight, สตอเบอรี่นะเย็น, สตอเบอรี่ใน, สตอเบอรี่ Midnight, Story With Night, Story รุ่นไหน,สตอ.*มิตรไหน,Midnight สตอ,สตอ.*มิดไนท์,มิดไนท์สตอ",th,31,1
90,amazon_product,ชาเขียวมะนาว เย็น,"ชาเขียวมะนาวเย็น, เขียวมะนาวเย็น, Tokyo มะนาวเย็น, ป้ายเขียวมะนาวเย็น, ได้เขียวมะนาวเย็น,เขียวมะนาวเย็น,มะนาวชาเขียวเย็น",th,32,1
89,amazon_product,ชาเขียวมะนาว ร้อน,"ชาเขียวมะนาวร้อน, เขียวมะนาวร้อน,มะนาวชาเขียวร้อน",th,33,1
88,amazon_product,ชามะนาว ร้อน,"ชามะนาวร้อน, คราวหน้าร้อน, ชาวนาร้อน",th,34,1
44,amazon_product,ชาไทยนมสด เย็น,"ชานมเย็น, ชาเย็น, ชาไทยนม.*เย็น, เช้าไทยนม.*เย็น, ประชาไทนมสดเย็น",th,35,1
87,amazon_product,ชาไทยนมสด ปั่น,"ชานมปั่น, ไทยปั่น, ชาเย็นปั่น, .*ไทยนม.*ปั่น, ไทยปั่น, ไทยปั่นนม, ชาปั่น",th,36,1
85,amazon_product,โกโก้ เย็น,"โอ้เย็น,โก้เย็น",th,37,1
84,amazon_product,โกโก้ ร้อน,"โอ้ร้อน,โก้ร้อน",th,38,1
86,amazon_product,โกโก้ ปั่น,"โอ้ปั่น,โก้ปั่น",th,39,1
83,amazon_option_topping,เพิ่มเจลลี่คอฟฟี่,"เจลลี่คอฟฟี่,เจลลี่กาแฟ,Daily Coffee,Kelly Coffee,เยลลี่คอฟฟี่,เยลลี่กาแฟ,เยลลี่ Coffee",th,40,1
82,amazon_option_topping,เพิ่มเจลลี่บราวน์ชูการ์,"ลี่บราวชูก้า,ลี่บราวชูก้า,brown sugar",th,41,1
81,amazon_option_topping,เพิ่มสตรอเบอรี่ คาเวียร์,"เบอรี่.*คาเวียร์,Strawberry Caviar,Kawa,คาเวียร์",th,42,1
79,amazon_option_topping,เพิ่มไข่มุกรสเสาวรส,".*มุก.*เสาวรส,มุกเอารถ",th,43,1
78,amazon_option_topping,เพิ่มไข่มุกรสส้ม,.*มุก.*ส้ม,th,44,1
77,amazon_option_topping,เพิ่มไข่มุกรสลิ้นจี่,.*มุก.*ลิ้นจี่,th,45,1
80,amazon_option_topping,เพิ่มไข่มุกรสสตรอเบอรี่,"มุก.*สตรอเบอรี่,ไข่มุกสตอรี่,ไข่มุก sorry,มุกสตอเบอรี่",th,46,1
30,amazon_product,ชามะนาว เย็น,"ชามะนาวเย็น,ชาดาวเย็น,ชาแนลเย็น,Chanel เย็น",th,47,1
6,amazon_product,อเมริกาโน่ ร้อน,"อเมริกาโน่ร้อน, อเมกาโน่ร้อน, กาแฟร้อน, นำแนในการโอนร้อน, กาแฟดำร้อน, แฟดำร้อน,กาโน่ร้อน,กาโนร้อน",th,48,1
151,amazon_product,อเมริกาโน่ เย็น,"อเมริกาโน่เย็น,กาแฟดำเย็น, แฟดำเย็น, อเมริกาโน่เย็น,กาโน่เย็น, กาโนเย็น,อเมกาโน่เย็น",th,49,1
8,amazon_product,คาปูชิโน ร้อน,"คาปูชิโน่ร้อน, คาปูร้อน, กูร้อน, ปูนร้อน,  ปูร้อน, ปู่ร้อน, ฟีโน่ร้อน, Hino ร้อน, ชิโน่ร้อน, ชิโนร้อน",th,50,1
9,amazon_product,คาปูชิโน เย็น,"คาปูชิโน่เย็น, คาปูเย็น, ปู่เย็น, กูเย็น, ปูนเย็น,  ปูเย็น, ฟีโน่เย็น, Hino เย็น, ชิโน่เย็น, ชิโนเย็น",th,51,1
10,amazon_product,คาปูชิโน ปั่น,"คาปูชิโน่ปั่น, คาปูปั่น, กูปั่น, ปูนปั่น,  ปูปั่น, ปู่ปั่น, ฟีโน่ปั่น, Hino ปั่น, ชิโน่ปั่น, ชิโนปั่น",th,52,1
11,amazon_product,ลาเต้ ร้อน,"ลาเต้ร้อน,เต้ร้อน",th,53,1
12,amazon_product,ลาเต้ เย็น,"ลาเต้เย็น,เต้เย็น",th,54,1
13,amazon_product,ลาเต้ ปั่น,"ลาเต้ปั่น,เต้ปั่น",th,55,1
15,amazon_product,มอคค่า ร้อน,"มอคค่าร้อน,บล็อกร้อน,ม็อบร้อน",th,56,1
16,amazon_product,มอคค่า เย็น,"มอคค่าเย็น,บล็อกเย็น,ม็อบเย็น",th,57,1
17,amazon_product,มอคค่า ปั่น,"มอคค่าปั่น,บล็อกปั่น,ม็อบปั่น",th,58,1
25,amazon_product,มิลค์แลนด์ คอฟฟี่มาเนีย เย็น,"มิลค์แลนด์คอฟฟี่มาเนีย, มิลค์แลนด์เย็น, มิลค์คอฟฟี่เย็น, นิ้วนางเย็น, มีแรง Coffee เย็น, Milk Land Coffee เย็น, Milk Land Coffee mania เย็น, เงินคอฟฟี่มาเนี่ย, นิ้วนางฟ้าผู้ mannion,Coffee Mania,Milk Land คอฟฟี่มาเนีย,Milk Land Coffee,ดูแล Coffee",th,59,1
26,amazon_product,คาราเมล มัคคิอาโต้ เย็น,".*เมลมัค, .*เมลแมค, มาแม่มากินตอนเย็น, ทุเรียนมากินตู้เย็น,คาราเมลมัสตาร์ด,Caramel Mask,Camel Mask,คาราเมลมะ,มัค.*เมล,มัก.*เมล",th,60,1
56,amazon_product,ชาเขียวนมสด เย็น,".*เขียวนม.*เย็น, มัทฉะนม.*เย็น,มัจฉานม.*เย็น",th,61,1
57,amazon_product,ชาเขียวนมสด ร้อน,".*เขียวนม.*ร้อน, มัทฉะนม.*ร้อน,มัจฉานม.*ร้อน",th,62,1
155,amazon_product,ชาเขียวนมสด ปั่น,".*เขียวนม.*ปั่น, มัทฉะนม.*ปั่น,มัจฉานม.*ปั่น",th,63,1
42,amazon_product,นมสดมันม่วง เย็น,"นม.*ม่วงเย็น,ขนม.*ม่วงเย็น",th,64,1
43,amazon_product,นมสดมันม่วง ร้อน,"นม.*ม่วงร้อน,ขนม.*ม่วงร้อน,นม.*ม่วงหลอน,ขนม.*ม่วงหลอน",th,65,1
41,amazon_product,นมสดมันม่วง ปั่น,"นม.*ม่วงปั่น,ขนม.*ม่วงปั่น",th,66,1
49,amazon_product,นมสดชมพู ปั่น,นม.*ชมพูปั่น,th,67,1
50,amazon_product,นมสดชมพู เย็น,นม.*ชมพูเย็น,th,68,1
51,amazon_product,นมสดชมพู ร้อน,"นม.*ชมพูร้อน,วง.*ชมพูร้อน",th,69,1
52,amazon_product,นมสดคาราเมล ปั่น,นม.*เมลปั่น,th,70,1
53,amazon_product,นมสดคาราเมล เย็น,นม.*เมลเย็น,th,71,1
54,amazon_product,นมสดคาราเมล ร้อน,นม.*เมลร้อน,th,72,1
